tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1,C2_fraction,E2_fraction,N2,minority2,scale2,Rinf2,concentration2,Q3_2,Q8_2,Q16_2
0.0,1.0,1.0,1.0,1.0,6.809232555951264,0.4027224442593372,1.0,1.0,14.931647945039199,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.9998287914334952,0.9997740249015338,0.9997406002412794,0.9998056596235455,6.808789465377079,0.4027195089675177,0.9999349279716114,1.000353745441271,14.937409512521509,1.0003036115012218,1.0009333912676217,1.0009908382377894,3.3302477148282e-05,2.2863193039374644e-05,9.918313299519221,0.4376879724053929,1.4565978203888224,0.0061264065843264215,27.866650552582705,0.006238897119938342,0.006132620492148483,0.006137351631420023,1.8393802779975024e-10,7.386725067056446e-11,16.95577939887548,0.4724055850041877,2.4901160680811443,8.075415707950322e-06,34.93544287714938,1.0584957229852687e-05,8.176399029518272e-06,7.90098297811706e-06
0.005,0.9996576250470088,0.9995680319146125,0.9994342535481407,0.9995650277807514,6.808341696289888,0.4027161768262912,0.9998691688594779,1.000649913094439,14.942647596173765,1.0005784024116533,1.001831152055704,1.0019459619651736,0.00013328810162775172,9.152338560936596e-05,9.916478448451874,0.4374021029957997,1.4563283552101447,0.0122565930675157,27.85933694040934,0.012483806219644795,0.012269142691354233,0.012275308886098037,2.91113141002211e-09,1.16946061979315e-09,16.95018236294353,0.4699285688036603,2.489294090584273,3.191442959627579e-05,34.687918130928246,4.202246813801379e-05,3.23859070373825e-05,3.127059283621746e-05
0.0075,0.9994864924198761,0.9993820456514013,0.9990808837668257,0.9992780062534133,6.807889333299728,0.4027125035260169,0.9998027350893806,1.000888547645611,14.947364244328995,1.000824269294369,1.0026931631837586,1.0028654582087149,0.00030005218372383615,0.00020606994496977587,9.91471656963988,0.4371164210903385,1.4560696066951664,0.01840313338703042,27.872397353993644,0.018733774377696362,0.018408509269056874,0.018413067878330098,1.4578124174390844e-08,5.858021573018645e-09,16.94528374394676,0.4674652063269055,2.4885746821991845,7.091944908013295e-05,34.43089326261327,9.384453119948196e-05,7.215850870012915e-05,6.96158430266694e-05
0.01,0.9993153851259334,0.9992160862660394,0.9986804354223515,0.998944517167388,6.807432461967233,0.4027085451030214,0.9997356392267058,1.001069712633968,14.951561594451636,1.001041119417179,1.003519319423402,1.003749425441207,0.000533660869399761,0.00036657021086134215,9.913028549743851,0.4368310426069784,1.455821705058358,0.024558246064626473,27.882691496072265,0.024987855501609528,0.024549680297947872,0.024549857429362738,4.557640089712255e-08,1.8318791675111778e-08,16.941090781299014,0.4650183730582762,2.487958906102056,0.00012499544296973777,34.308103576049774,0.00016559508460705808,0.00012703856868606387,0.00012245523471959317
0.0125,0.9991442947343707,0.9990701694247305,0.9982328737165818,0.9985645030080194,6.806971168769003,0.4027043579020567,0.9996678939713574,1.0011934903653767,14.955241871633731,1.0012288707582744,1.0043095293998534,1.0045979731443084,0.0008341513313955846,0.000573069565860051,9.91141519407785,0.4365460785842191,1.4555847685676826,0.030719249289480045,27.890234765666634,0.031245110846773675,0.030691633613573327,0.03068493801593428,1.1007185168341077e-07,4.425092013106536e-08,16.93761019559787,0.46259096140370676,2.4874477492760048,0.00019356569817789823,34.17660775640992,0.0002568314656956107,0.00019658689258607716,0.0001893215476026702
0.015,0.9989732128106072,0.9989443062801103,0.9977381845035015,0.9981379266130773,6.806505541062906,0.4026999985387392,0.9995995121526617,1.001259981812316,14.95840738710438,1.0013874520016661,1.005063715483235,1.00541122136642,0.001201531976685433,0.0008255915251516097,9.909877225496585,0.4362616350831128,1.4553589033811687,0.0368865991336462,27.897407850689746,0.037504609510259246,0.0368333651354936,0.03681760061536001,2.2579499962692915e-07,9.078857078697279e-08,16.934848176410586,0.4601858808939174,2.48704212071734,0.00027611984748650336,34.03085945324294,0.00036712580060458734,0.0002803827327556543,0.0002697648326923792
0.0175,0.9988021309171901,0.9988385034499045,0.9971963742418235,0.997664771143306,6.8060356670533775,0.4026955238620143,0.999530506724272,1.00126930650034,14.961060536754625,1.0015168025224992,1.0057818136699428,1.0061893002768667,0.001635782669289027,0.0011241378452050976,9.908415283493557,0.43597781311003364,1.455144203414467,0.04309458132558936,27.927152502485995,0.043765428898750756,0.0429738891486858,0.042947165460721,4.1384289267088245e-07,1.6641965756888546e-07,16.93281033616593,0.4578060493834057,2.4867428446641413,0.00037212929107575526,33.87116716428264,0.000496066317750664,0.0003780257188770976,0.00036335561850721186
0.02,0.9986310406147111,0.9987527629998891,0.9966074699250937,0.9971450400307242,6.8055616357566935,0.40269099091669386,0.9994608907590676,1.0012216023813523,14.963203799679778,1.0016168723623533,1.0064637734543778,1.0069323497174762,0.0021368549675050974,0.001468688650828605,9.907029923512294,0.43569470856017684,1.4549407502396958,0.04931245232830824,27.954052777221786,0.05002665517081206,0.04911223854594803,0.04907298072035101,6.984934350294723e-07,2.809085888192012e-07,16.931501660072442,0.455454382649869,2.4865506532412853,0.0004810381679549243,33.697841258416524,0.000643258573862286,0.0004891376899559055,0.00046968832741481857
0.0225,0.9984599334627451,0.9986870824311491,0.9959715189895043,0.9965787569048614,6.805083536966253,0.4026864569061132,0.9993906774440556,1.0011170256939523,14.964839736741165,1.0016876221946303,1.0071095576913163,1.0076405187526412,0.002704672374709688,0.0018592025800958244,9.905721616471734,0.4354124121816515,1.4547486130157414,0.05553749782223377,27.978127565736546,0.05628738365599617,0.05524746503213644,0.05519442111624313,1.1070328031303125e-06,4.4522335049244467e-07,16.930926455774088,0.4531337832694381,2.486466179066901,0.000602266296666411,33.511193198678285,0.0008083265815388657,0.0006133644016149827,0.0005883848770604653
