restart,iteration,tau,q3,q3_per_octave,objective_score,smooth_peak_score,critical_fraction,scale_ratio,local_reynolds_ratio,source_l3,source_concentration,source_i4,penalty,loss,learning_rate,feasible
0,0,0.95,0.9762474894523621,0.9642712290908754,0.9642712290908754,0.9341985583305359,0.8556159138679504,1.580883264541626,0.9177594780921936,1.5413464307785034,12.199268341064453,22.012174606323242,0.0,0.06806627660989761,0.003,1
0,5,0.9750000000000001,0.9772422909736633,0.965598557268617,0.965598557268617,0.9358332753181458,0.8546769022941589,1.577455997467041,0.9177899360656738,1.5356744527816772,12.091320991516113,21.539453506469727,0.0,0.06631794571876526,0.0029992968485211676,1
0,10,1.0,0.9779899716377258,0.9666796840172025,0.9666796840172025,0.9372633695602417,0.8536693453788757,1.576522707939148,0.9227191805839539,1.530035138130188,11.98978328704834,21.08172607421875,0.0,0.06479095667600632,0.0029971880880102866,1
0,15,1.0,0.9790704846382141,0.9681418521345677,0.9681418521345677,0.9385906457901001,0.8481200337409973,1.5727605819702148,0.9318709373474121,1.5247586965560913,11.89564037322998,20.660118103027344,0.0,0.06337583810091019,0.0029936757995593886,1
0,20,1.0,0.9798138737678528,0.9690897793750781,0.9690897793750781,0.9398497343063354,0.8426141738891602,1.5686118602752686,0.9383077025413513,1.5198349952697754,11.810262680053711,20.270795822143555,0.0,0.062035273760557175,0.0029887634493731305,1
0,25,1.025,0.9806917905807495,0.9703923184135095,0.9703923184135095,0.9410381317138672,0.8430891633033752,1.5677720308303833,0.9415116906166077,1.5152883529663086,11.733719825744629,19.914613723754883,0.0,0.06077161803841591,0.00298245588534807,1
0,30,1.025,0.9815146923065186,0.9715175351873969,0.9715175351873969,0.9421610832214355,0.8390507698059082,1.5645047426223755,0.947853684425354,1.511226773262024,11.664344787597656,19.5980281829834,0.0,0.059579018503427505,0.002974759332288381,1
0,35,1.05,0.9820982813835144,0.9724103857333137,0.9724103857333137,0.9432214498519897,0.8401960730552673,1.5644561052322388,0.949307918548584,1.507692813873291,11.602192878723145,19.322072982788086,0.0,0.05845418944954872,0.0029656813857627147,1
0,40,1.05,0.9829896688461304,0.973670694132305,0.973670694132305,0.9442223310470581,0.8374502062797546,1.5615754127502441,0.9550591707229614,1.5046566724777222,11.549359321594238,19.083486557006836,0.0,0.057393621653318405,0.0029552310046082986,1
0,45,1.05,0.9837340712547302,0.9747265198511103,0.9747265198511103,0.945167601108551,0.8351715207099915,1.5590354204177856,0.959964394569397,1.5021207332611084,11.505794525146484,18.881872177124023,0.0,0.056393012404441833,0.0029434185020896435,1
0,50,1.05,0.9843640327453613,0.9756218087201852,0.9756218087201852,0.9460611343383789,0.8332656621932983,1.5567601919174194,0.964006781578064,1.500078797340393,11.46948528289795,18.715946197509766,0.0,0.05544808879494667,0.0029302555357205934,1
0,55,1.0750000000000002,0.9848973155021667,0.9764818963085529,0.9764818963085529,0.9469070434570312,0.8366063237190247,1.5577160120010376,0.9627173542976379,1.4984649419784546,11.43967056274414,18.580577850341797,0.0,0.054554350674152374,0.0029157550957597707,1
0,60,1.0750000000000002,0.9856151938438416,0.9775373253705993,0.9775373253705993,0.9477089047431946,0.8358219265937805,1.555917501449585,0.9661232829093933,1.4972153902053833,11.415141105651855,18.471033096313477,0.0,0.05370788648724556,0.002899931492390757,1
0,65,1.0750000000000002,0.9862557053565979,0.978484118412677,0.978484118412677,0.9484703540802002,0.8352839946746826,1.5543197393417358,0.9690203666687012,1.4962797164916992,11.394444465637207,18.383808135986328,0.0,0.05290474370121956,0.0028828003415996718,1
0,70,1.0750000000000002,0.9868334531784058,0.9793433690434884,0.9793433690434884,0.949194610118866,0.8349684476852417,1.5529203414916992,0.9715240597724915,1.49559485912323,11.377266883850098,18.31466293334961,0.0,0.05214143171906471,0.002864378549764077,1
0,75,1.0750000000000002,0.9873601794242859,0.980130699920377,0.980130699920377,0.9498842358589172,0.8348363637924194,1.5516695976257324,0.9736863374710083,1.495105504989624,11.363020896911621,18.25981903076172,0.0,0.05141516029834747,0.0028446842969684235,1
0,80,1.0750000000000002,0.9878448247909546,0.9808584036214779,0.9808584036214779,0.9505418539047241,0.8348238468170166,1.550539255142212,0.9755582809448242,1.49476957321167,11.350808143615723,18.216432571411133,0.0,0.050723083317279816,0.002823737019062505,1
0,85,1.0750000000000002,0.9882941842079163,0.981536549674586,0.981536549674586,0.9511693716049194,0.8349059820175171,1.5495331287384033,0.9771944880485535,1.4945459365844727,11.34023666381836,18.18178939819336,0.0,0.050063133239746094,0.0028015573884806193,1
0,90,1.0750000000000002,0.9887127876281738,0.9821704851225698,0.9821704851225698,0.9517691135406494,0.8350517153739929,1.5486063957214355,0.9785827994346619,1.4944034814834595,11.330952644348145,18.15376853942871,0.0,0.04943280294537544,0.0027781672938403707,1
0,95,1.1,0.9890989065170288,0.9828337535548404,0.9828337535548404,0.952342689037323,0.8399368524551392,1.5508090257644653,0.9735002517700195,1.4943207502365112,11.322603225708008,18.13091468811035,0.0,0.048830341547727585,0.00275358981834125,1
0,100,1.1,0.9895656704902649,0.983547906668543,0.983547906668543,0.9528918862342834,0.8402686715126038,1.5500320196151733,0.9746255874633789,1.4942808151245117,11.315006256103516,18.112062454223633,0.0,0.048253826797008514,0.0027278492169843,1
0,105,1.1,0.9900041818618774,0.9842206254787066,0.9842206254787066,0.9534183144569397,0.8406089544296265,1.5493086576461792,0.9755597710609436,1.494271159172058,11.308000564575195,18.09626579284668,0.0,0.047701526433229446,0.0027009708926353584,1
0,110,1.1,0.9904170632362366,0.9848557357533508,0.9848557357533508,0.9539234042167664,0.8409539461135864,1.5486394166946411,0.9763224720954895,1.4942829608917236,11.301482200622559,18.08291244506836,0.0,0.04717189818620682,0.0026729813709555,1
0,115,1.1,0.9908066987991333,0.9854566395304345,0.9854566395304345,0.9544082283973694,0.8413017392158508,1.548020839691162,0.9769368767738342,1.4943121671676636,11.295347213745117,18.071596145629883,0.0,0.046663787215948105,0.002643908274223405,1
0,120,1.1,0.9911757111549377,0.9860270203195146,0.9860270203195146,0.9548743367195129,0.8416510820388794,1.5474426746368408,0.9774075150489807,1.494354248046875,11.289556503295898,18.061994552612305,0.0,0.046175532042980194,0.0026137802940755113,1
0,125,1.1,0.9915254712104797,0.9865688529113253,0.9865688529113253,0.9553225040435791,0.842003345489502,1.5469051599502563,0.9777453541755676,1.494407296180725,11.28408145904541,18.053850173950195,0.0,0.04570629447698593,0.0025826271631908294,1
0,130,1.1,0.9918578863143921,0.9870848997276077,0.9870848997276077,0.9557540416717529,0.8423558473587036,1.5464043617248535,0.9779593348503113,1.4944688081741333,11.278858184814453,18.04698371887207,0.0,0.045254677534103394,0.002550479625948381,1
0,135,1.1,0.9921740889549255,0.9875767364164857,0.9875767364164857,0.9561696648597717,0.8427097797393799,1.5459368228912354,0.9780598878860474,1.494537115097046,11.273853302001953,18.04119110107422,0.0,0.0448199063539505,0.002517369408086203,1
0,140,1.1,0.9924755692481995,0.9880465584393355,0.9880465584393355,0.9565703272819519,0.8430646061897278,1.5455007553100586,0.9780568480491638,1.4946106672286987,11.269036293029785,18.036327362060547,0.0,0.04440096765756607,0.002483329185391882,1
0,145,1.1,0.9927631616592407,0.9884955199345994,0.9884955199345994,0.9569565057754517,0.8434193134307861,1.5450931787490845,0.977958619594574,1.4946882724761963,11.264373779296875,18.03223991394043,0.0,0.04399733617901802,0.0024483925514554904,1
0,150,1.1,0.9930380582809448,0.9889253757311606,0.9889253757311606,0.9573291540145874,0.8437743186950684,1.5447120666503906,0.977773129940033,1.4947689771652222,11.259856224060059,18.028823852539062,0.0,0.04360800236463547,0.002412593984516773,1
0,155,1.1,0.9933009743690491,0.9893371403636331,0.9893371403636331,0.9576888680458069,0.8441275954246521,1.5443555116653442,0.9775087237358093,1.4948511123657227,11.255461692810059,18.025970458984375,0.0,0.043232325464487076,0.0023759688134392843,1
0,160,1.1,0.9935527443885803,0.989732026035363,0.989732026035363,0.9580360651016235,0.8444792628288269,1.5440213680267334,0.9771726727485657,1.494934320449829,11.251174926757812,18.023574829101562,0.0,0.04286985471844673,0.0023385531828450682,1
0,165,1.1,0.9937940239906311,0.9901109864812706,0.9901109864812706,0.9583712220191956,0.8448283076286316,1.5437084436416626,0.9767715334892273,1.4950175285339355,11.246983528137207,18.021556854248047,0.0,0.042520079761743546,0.0023003840174442777,1
0,170,1.1,0.9940254092216492,0.9904748771133185,0.9904748771133185,0.9586949944496155,0.8451741337776184,1.5434147119522095,0.9763115048408508,1.4950999021530151,11.242877006530762,18.01984214782715,0.0,0.04218230023980141,0.0022614989855949427,1
0,175,1.1,0.994247555732727,0.9908246802721283,0.9908246802721283,0.959007978439331,0.8455163836479187,1.5431398153305054,0.9757989048957825,1.4951810836791992,11.238847732543945,18.018373489379883,0.0,0.04185588285326958,0.0022219364621288524,1
0,180,1.1,0.9944608211517334,0.9911608807885994,0.9911608807885994,0.9593100547790527,0.8458535671234131,1.5428812503814697,0.9752400517463684,1.4952603578567505,11.234886169433594,18.01709747314453,0.0,0.04154094681143761,0.0021817354904802265,1
