tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.605439459966551,0.345962818331779,0.9999999999999999,1.0000000000000002,10.837534097726303,1.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00125,0.9999999973996376,0.9999937928892585,0.9999906437584414,0.999997927167217,6.6053913497510965,0.3459616441075657,0.9999927165761269,1.0003482015856244,10.841240018488431,1.0001512879965682,1.0004370842317634,1.0004257362665985,3.1334002474828804e-06,2.03748421329687e-06,10.158353867734563,0.414448578721187,1.537877067725938,0.0023565409389896133,27.51566165580011,0.0020395258214686686,0.0022765783586462486,0.0023431485545012437
0.0025,0.9999999947992962,0.9999895264427291,0.9999769241591987,0.9999917089269036,6.605341799268834,0.345960331785167,0.9999852151097124,1.0006881517423896,10.844876581607895,1.0002998814948425,1.000870339599322,1.0008462446192217,1.2539340540642273e-05,8.154896336254641e-06,10.156824978986519,0.41440956663488826,1.5376456086750587,0.004713454641374774,27.505328676019307,0.0040804470254084835,0.004554794068412359,0.004687738866690449
0.00375,0.9999999921989631,0.999987202544362,0.9999588346291383,0.999981338008389,6.605290812483207,0.3459588818029294,0.9999774962007834,1.0010198460683213,10.848443807104902,1.0004457730953629,1.0012997560594994,1.001261523377831,2.8226188528083604e-05,1.835950944589553e-05,10.155302899421464,0.4143705998319527,1.5374151804689902,0.007070870453449792,27.495649685518707,0.00612272550217723,0.006834591290557934,0.0070337143857008505
0.005,0.9999999895986251,0.9999868230370921,0.9999363687989428,0.999966807332631,6.605238393401088,0.3459572946062703,0.999969560455942,1.0013432805085083,10.85194171724957,1.0005889555181164,1.0017253237994765,1.001671571287947,5.0201990227692754e-05,3.265837505543752e-05,10.153787708542023,0.41433167742126054,1.5371857951436647,0.00943035972335934,27.490827496345858,0.008166323209863007,0.009115914254114203,0.009381018797977323
0.00625,0.9999999869982692,0.999988389722752,0.9999095205035293,0.9999481100127108,6.605184546072384,0.34595557064764965,0.9999614084883054,1.0016584513556588,10.855370336561466,1.0007294216029152,1.0021470332368227,1.0020763875200887,7.847447080743555e-05,5.105832309458925e-05,10.152279484602959,0.41429279846544204,1.536957464546101,0.011790769213561637,27.485344870042862,0.01021120217751329,0.011398707261690531,0.011729596033257884
0.0075,0.999999984397883,0.9999919043619928,0.9998782837824407,0.999925239354307,6.60512927458962,0.34595371038654005,0.9999530409174422,1.0019653552506174,10.858729691808962,1.0008671643097562,1.00256487501949,1.0024759716691636,0.0001130510353934602,7.356596191644838e-05,10.150778304593517,0.4142539619810929,1.5367302003317307,0.01415189116143184,27.479202469632376,0.01225732450833221,0.013682914695324453,0.014079390270615695
0.00875,0.9999999817974526,0.9999973686742064,0.999842652880208,0.9998981888561397,6.605072583087529,0.3459517142893967,0.9999444583693112,1.0022639891828526,10.862019812008498,1.0010021767191661,1.002978840025777,1.0028703237538048,0.00015393876990456157,0.0001001876783306535,10.149284244220192,0.41421516693902866,1.536504013961788,0.016513517750914412,27.47240101639754,0.014304652382843482,0.015968481022374047,0.0164303459445624
0.01,0.999999979196966,1.0000047843374518,0.9998026222466869,0.9998669522103909,6.605014475742631,0.34594958282962673,0.9999356614761975,1.002554350490907,10.865240728423679,1.0011344520325323,1.003388919364265,1.0032594442156584,0.00020114444191207757,0.00013092963766243976,10.147797377889946,0.4141764122645794,1.536278916700772,0.018875441150234137,27.464941289859855,0.016353148062015467,0.018255350801451506,0.018782407751213252
0.01125,0.9999999765964097,1.0000141529883841,0.9997581865373655,0.9998315233030987,6.604954956772812,0.3459473164875577,0.9999266508766486,1.0028364368628115,10.868392474564251,1.0012639835724149,1.0037951043737179,1.0036433339186228,0.000254674501524299,0.00016579778383724888,10.146317778693838,0.41413769683792273,1.5360549196139657,0.02123745354965428,27.45682412774944,0.01840277389034637,0.02054346868839647,0.02113552065451442
