iteration,restart,loss,parent_norm,leakage_norm,total_norm,leakage_ratio,parent_fraction,parent_strength,order2_scaled_ratio,child_l4,child_linf,parent_linf,parent_mean_wavenumber,wall_seconds
0,0,-3.315380811691284,0.8426291942596436,0.030604474246501923,0.843184769153595,0.036320216953754425,0.9986826181411743,0.14895720779895782,0.7354844212532043,1.7472264766693115,5.177428722381592,5.756206035614014,2.155104875564575,3.2636940479278564
1,0,-0.810366690158844,0.8428354859352112,0.37480470538139343,0.9224153757095337,0.44469496607780457,0.8348963856697083,0.14899367094039917,9.005072593688965,1.7471764087677002,5.227813720703125,5.758856773376465,2.1556918621063232,3.576991319656372
2,0,-0.3664088845252991,0.8432886600494385,0.5845839977264404,1.0260965824127197,0.6932193040847778,0.675423264503479,0.1490737795829773,14.037691116333008,1.747183918952942,5.278257846832275,5.763545989990234,2.1567633152008057,3.5797057151794434
3,0,-0.153625026345253,0.8439644575119019,0.723778486251831,1.1118144989013672,0.8575935363769531,0.5762137770652771,0.14919324219226837,17.366268157958984,1.7472401857376099,5.3077874183654785,5.769055366516113,2.158047914505005,3.5821266174316406
4,0,-0.026302265003323555,0.8448639512062073,0.8229318261146545,1.1794116497039795,0.9740406274795532,0.5131481289863586,0.14935225248336792,19.724323272705078,1.7473527193069458,5.326257228851318,5.775196552276611,2.1594862937927246,3.5845351219177246
5,0,0.05700375884771347,0.8459781408309937,0.8956030607223511,1.2319837808609009,1.0586597919464111,0.47152888774871826,0.1495492160320282,21.4378604888916,1.7475242614746094,5.337907791137695,5.7818684577941895,2.1610512733459473,3.586923599243164
6,0,0.11356697231531143,0.8472966551780701,0.9491984248161316,1.2723559141159058,1.1202669143676758,0.44345927238464355,0.14978229999542236,22.685405731201172,1.7477558851242065,5.3450140953063965,5.788989543914795,2.1627254486083984,3.6669511795043945
7,0,0.15213066339492798,0.8488089442253113,0.9882787466049194,1.302755355834961,1.1643123626708984,0.42451608180999756,0.15004964172840118,23.57732582092285,1.7480477094650269,5.348957061767578,5.79650354385376,2.1644980907440186,3.6693036556243896
8,0,0.1776810586452484,0.850504994392395,1.015880823135376,1.3249046802520752,1.1944442987442017,0.4120827913284302,0.1503494530916214,24.187496185302734,1.748399019241333,5.350651264190674,5.804361343383789,2.1663613319396973,3.6716227531433105
9,0,0.19329841434955597,0.8523755669593811,1.0341402292251587,1.340145468711853,1.2132447957992554,0.4045368432998657,0.15068013966083527,24.568206787109375,1.7488092184066772,5.350733280181885,5.81251859664917,2.1683084964752197,3.6739211082458496
10,0,0.20099397003650665,0.8544129133224487,1.0446200370788574,1.349537968635559,1.2226173877716064,0.4008347690105438,0.15104028582572937,24.75800132751465,1.749277949333191,5.349670886993408,5.820939064025879,2.1703341007232666,3.676201105117798
11,0,0.20213273167610168,0.8566089272499084,1.048498272895813,1.3539303541183472,1.2240104675292969,0.4002879559993744,0.1514284908771515,24.786212921142578,1.749803900718689,5.347813606262207,5.829587936401367,2.172434091567993,3.7454700469970703
12,0,0.19766385853290558,0.8589569330215454,1.0466842651367188,1.3540143966674805,1.2185527086257935,0.40243545174598694,0.15184356272220612,24.675691604614258,1.7503867149353027,5.345431804656982,5.838432788848877,2.1746037006378174,3.7478339672088623
13,0,0.1882551908493042,0.8614499568939209,1.0398919582366943,1.3503597974777222,1.2071415185928345,0.4069688022136688,0.15228427946567535,24.444616317749023,1.7510254383087158,5.342733383178711,5.847445487976074,2.1768391132354736,3.7501683235168457
14,0,0.17437490820884705,0.8640822172164917,1.0286914110183716,1.34344482421875,1.1905018091201782,0.4136856496334076,0.15274959802627563,24.107662200927734,1.75171959400177,5.3398871421813965,5.856597423553467,2.179135799407959,3.752500295639038
15,0,0.15634305775165558,0.866847574710846,1.0135418176651,1.3336759805679321,1.1692272424697876,0.4224592447280884,0.153238445520401,23.676851272583008,1.752468466758728,5.337021350860596,5.865863800048828,2.181489944458008,3.754805326461792
16,0,0.13436545431613922,0.8697404265403748,0.9948184490203857,1.3214054107666016,1.143810749053955,0.43321865797042847,0.15374983847141266,23.162168502807617,1.7532719373703003,5.3342366218566895,5.875219821929932,2.183897018432617,3.823730945587158
17,0,0.10855383425951004,0.8727550506591797,0.9728294014930725,1.3069424629211426,1.114664912223816,0.4459352493286133,0.15428274869918823,22.571964263916016,1.75412917137146,5.331608772277832,5.8846435546875,2.186351776123047,3.826080799102783
18,0,0.07894009351730347,0.8758864402770996,0.9478312730789185,1.2905662059783936,1.082139492034912,0.4606117606163025,0.15483631193637848,21.9133243560791,1.7550406455993652,5.32919454574585,5.894110202789307,2.188849449157715,3.8284058570861816
19,0,0.04548335447907448,0.8791286945343018,0.9200377464294434,1.2725316286087036,1.0465335845947266,0.47727397084236145,0.15540945529937744,21.192304611206055,1.756005883216858,5.327028751373291,5.9036030769348145,2.191383123397827,3.830731153488159
20,0,0.008072134107351303,0.8824763894081116,0.8896286487579346,1.253077745437622,1.0081048011779785,0.49596405029296875,0.1560012549161911,20.414121627807617,1.7570250034332275,5.325747013092041,5.91309928894043,2.1939468383789062,3.8330366611480713
