tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.465486640239153,0.3681210446747663,1.0,1.0,12.225505060972356,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999997957676621,0.999984204617449,0.9999663941690794,0.9999863112770578,6.465357864680833,0.36811850561990467,0.999980082619378,1.000483187073044,12.231252364684504,1.0003653902803538,1.0010052749487603,1.0009182451573586,1.7726542363987498e-05,1.147120193269832e-05,9.99116949596189,0.4095027550086762,1.5453081959492418,0.004985346065397972,27.80819282517356,0.004710808988283379,0.004933245114734364,0.005007762557330397
0.005,0.9999959153795704,0.999979134844189,0.9999078178331372,0.9999492687304399,6.465218626419735,0.36811590400870237,0.999958546999734,1.0009911147870834,12.23742506766421,1.0007157284204078,1.001990503113211,1.0018141709896737,7.098051306038574e-05,4.594552126475393e-05,9.988428605799658,0.4092877531880963,1.5448842695977167,0.009971977798689772,27.785772290289746,0.00942850205232939,0.009872794320268444,0.010019804662116426
0.0075,0.9999938730526466,0.9999848170454443,0.9998241901106445,0.999888785094955,6.465068955778328,0.3681132616659429,0.9999353978309653,1.0016239980516364,12.245249126645811,1.001050927525205,1.002955590604115,1.002687895980521,0.000159866571036096,0.00010350916012643552,9.985736315434984,0.40907355545456275,1.544467860050457,0.01495755922078875,27.759844151654338,0.014152644336459819,0.014818082178248693,0.015035631462604154
0.01,0.9999918306395659,1.0000012764417596,0.9997154364368205,0.9998047789509282,6.464908884617725,0.36811060049640604,0.9999106400409473,1.0022149766458186,12.252685428165135,1.0013709041806511,1.0039004495305308,1.0035395485014398,0.0002844802706831578,0.00018424182898213386,9.983093414101603,0.4088601858187527,1.5440590893761923,0.019939757350481275,27.730421887755742,0.018882803710464045,0.019768549767194627,0.020054764911235128
0.0125,0.9999897880839632,1.0000285371056024,0.9995814885838326,0.9996971747490765,6.464738446311293,0.3681079424754023,0.999884278791452,1.0027639914603061,12.259734011047879,1.001675578469775,1.0048249979625474,1.0043692665686323,0.00044490811062807505,0.0002882167484576563,9.980500650268329,0.4086476666103431,1.5436580733386465,0.02491624455119259,27.69752072573101,0.02361855090592612,0.02472364490714005,0.025076743905788935
0.015,0.999987745329395,1.0000666219583898,0.9994222846768221,0.9995659028314882,6.4645576757179954,0.3681053096392626,0.9998563194740245,1.0032709931190724,12.266394983851315,1.0019648739868543,1.0057291598900266,1.0051771975839057,0.0006412275847479541,0.0004155006544274092,9.977958730905018,0.4084360184748885,1.5432649212830083,0.02988470088040058,27.66115763884015,0.028359459646844106,0.029682822377737346,0.03010112438280723
0.0175,0.9999857023193405,1.00011555276793,0.9992377692057607,0.9994108994487074,6.46436660915543,0.36810272407579214,0.9998267677058132,1.003735941998269,12.272668524758362,1.0022387178494496,1.0066128651774617,1.005963498059936,0.0008735072351555477,0.0005661538062590546,9.975468320822772,0.40822526037715967,1.5428797360338817,0.03484281643846197,27.62135134269518,0.03310510677374277,0.03464554412959037,0.03512747936198331
0.02,0.9999836589972022,1.000175350146265,0.9990278930331543,0.9992321067729288,6.464165284372666,0.3681002079146995,0.9997956293253686,1.0041588082403416,12.278554881453562,1.0024970407083467,1.0074760495150445,1.0067283333299513,0.0011418067069123665,0.0007402299981170483,9.973030042089757,0.4080154096109051,1.5425026138049314,0.0397882937136128,27.578122290247553,0.03785507235986965,0.039611279488553905,0.04015539894041293
0.0225,0.999981615306309,1.000246033547915,0.9987926133976097,0.9990294729073143,6.463953740522839,0.36809778331800896,0.9997629103884039,1.0045395717633472,12.2840543709806,1.0027397767551183,1.008318654366059,1.0074718772419966,0.0014461768042470058,0.000937776573230707,9.970644473523727,0.40780648181496976,1.5421336441203939,0.04471884991991105,27.531492665539755,0.04260893981938674,0.04457950535271265,0.045184490235841285
