tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.465486640239153,0.3681210446747663,1.0,1.0,12.225505060972356,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999934648026034,0.9999157295077514,0.9998979216186366,0.9999230032473448,6.465324462816688,0.36811842228194985,0.9999749164399389,1.0004558811791007,12.23124253168643,1.0003341905291154,1.0009769653128782,1.0008906511264075,1.7723988586875924e-05,1.1469592377628134e-05,9.99113199905149,0.40950326767766654,1.5453023963996508,0.0049849812607615975,27.808004569442925,0.0047104658683812094,0.004932889271397925,0.005007402299985789
0.005,0.99986930163817,0.9998421880715376,0.9997708915489624,0.9998226679695026,6.465151821109714,0.3681157393523247,0.9999482143962135,1.0009366064243088,12.237406939639106,1.0006533020712747,1.001933803457449,1.0017589151991775,7.096006893409973e-05,4.593263153296947e-05,9.988353864606264,0.40928878791171047,1.5448727095717583,0.00997051939528572,27.785398516369607,0.009427128988367815,0.009871370660339406,0.01001836398469966
0.0075,0.999803959038532,0.9997793954050549,0.9996188376652011,0.9996989149332385,6.464968745802189,0.3681130176511919,0.9999198986146316,1.0015421992548024,12.245222001149862,1.0009572514251426,1.002870425248188,1.0026049157354173,0.0001597975287449002,0.00010346561500632831,9.985624568898489,0.40907512128345963,1.5444505765043433,0.014954280543990596,27.759288271436997,0.014149553775996375,0.014814878500469355,0.015032390918130715
0.01,0.9997386184275618,0.9997273700699513,0.9994416941868146,0.9995516707830218,6.464775269097169,0.36811027901842913,0.9998899740759564,1.002105874535929,12.252649403890716,1.0012459588943945,1.0037867475150932,1.0034287860704556,0.00028431652050703846,0.00018413851681302803,9.982944887104033,0.40886229146387965,1.5440361170918409,0.019933935036944087,27.729687982212702,0.018877307567746193,0.019762853906600937,0.020049006007857986
0.0125,0.999673278004068,0.9996861294726596,0.9992394016935883,0.9993808680612009,6.464571424690133,0.3681075453589926,0.9998584459917799,1.0026275816257555,12.259689227172055,1.0015193483017697,1.0046826930629775,1.004230669109356,0.0004445881180429837,0.0002880147949497675,9.98031555329411,0.4086503204400339,1.543629444871136,0.024907159733485253,27.696613538554207,0.02360996075336357,0.02471474499305497,0.025067749332178577
0.015,0.9996079359652777,0.9996556898616622,0.9990119071365413,0.9991864452242794,6.46435724774201,0.3681048386333791,0.9998253198003513,1.0031072796095937,12.266341619796359,1.0017773470009885,1.0055581906268132,1.0050107170629106,0.0006406743751571705,0.00041515140211585575,9.977737259734157,0.4084392285136153,1.5432306669131235,0.02987164036203037,27.66008256911224,0.02834708690288515,0.02967000708524472,0.03008817821928771
0.0175,0.9995425905068888,0.9996360663251798,0.9987591638446788,0.9989683466552969,6.464132774851978,0.36810218084805874,0.9997906011623706,1.0035449373136365,12.272606799928703,1.0020198858865859,1.006413174823243,1.0057690911681878,0.0008726283861232308,0.0005655987995435387,9.975210656257577,0.40822903430591845,1.5428398837258448,0.034825073856836836,27.620114436593724,0.033088262887073255,0.03462810292428014,0.03510986727725003
0.02,0.9994772398231229,0.9996272727892722,0.9984811315275998,0.9987265226723248,6.463898044030045,0.368099594045887,0.9997542959567466,1.0039405333138312,12.278485054949195,1.0022468994016458,1.0072475860983574,1.0065059613937621,0.0011404943477717941,0.0007394009738357377,9.972736349715635,0.40801975476920277,1.5424571891694068,0.039765170688501404,27.576730231789075,0.03783306898986923,0.039588502864338904,0.040132408373716504
0.0225,0.9994118821067802,0.99962932201634,0.9981777762739872,0.9984609295330948,6.463653094669415,0.3680971002965066,0.9997164102763239,1.004294055939962,12.283976741287084,1.0024583255431707,1.0080613706718555,1.0072215061298024,0.0014443076229579959,0.0009365954567140213,9.970314903504583,0.407811405204373,1.5420826703828423,0.04468965718497999,27.529952766371032,0.042581089012787406,0.04455068506252629,0.045155410564583366
0.025,0.9993465155492963,0.9996422256040218,0.9978490705460035,0.9981715294357749,6.463397967518722,0.3680947216867483,0.9996769504235873,1.0046055032748948,12.289082284236068,1.0026541058650946,1.0088544804776984,1.0079159118632384,0.0017840948052070924,0.0011572133475844884,9.96794683717071,0.4076039992848693,1.5417164077230239,0.04959627783993478,27.479806564473545,0.04733191037244148,0.04951413566092415,0.05017849997105858
0.0275,0.9992811383407982,0.999665993984469,0.9974949931696254,0.9978582905159169,6.463132704654103,0.36809248031103947,0.9996359229063441,1.0048748831489631,12.293802177750525,1.0028341854792402,1.0096268731013676,1.0085893728382962,0.0021598737843564106,0.0014012793388343675,9.965632626093965,0.40739754908663844,1.5413584747157323,0.05448279760523964,27.426317853061555,0.052085124192065936,0.05447834896050784,0.05520131960489328
0.03,0.9992157486701635,0.9997006364239927,0.9971155293209515,0.997521186839604,6.462857349451185,0.36809039826183065,0.9995933344333892,1.0051022131294605,12.298136984222243,1.002998513054252,1.0103785117138557,1.0092420907027388,0.0025716538130320884,0.0016688117437775242,9.963372701250389,0.4071920651240264,1.5410089380189103,0.05934700416450783,27.369514551103663,0.05684032538726791,0.05944282758659392,0.060223529141851515
0.0325,0.9991503447250801,0.9997461610230711,0.9967106705085186,0.9971601983928245,6.462571946556954,0.36808849762004664,0.9995491919101559,1.0052875205052307,12.302087334237362,1.0031470408124783,1.011109365002498,1.0098742741402096,0.003019435573819587,0.0019598225271726024,9.96116744905344,0.40698755639140705,1.5406678573981223,0.06418671018454551,27.309426257561945,0.06159711274757474,0.06440708264546612,0.06524480464382441
0.035,0.9990849246921049,0.999802574716702,0.996280414551673,0.9967753110671088,6.4622765418615895,0.3680868004455737,0.999503502434359,1.0054308422663252,12.305653926313132,1.003279724524783,1.0118194070987725,1.010486138489142,0.003503211247007591,0.002274317338243222,9.959017211274,0.4067840304103389,1.5403352857141817,0.0689997555416816,27.246084238214184,0.06635508901219056,0.06937063387181701,0.07026483823034498
0.0375,0.9990194867567275,0.9998698832750955,0.9958247655550424,0.9963665166414669,6.461971182470238,0.36808532876778793,0.9994562732916289,1.0055322250787289,12.308837526614262,1.0033965235033118,1.01250861750319,1.0110779053487584,0.004022964578805518,0.0026122955461353567,9.956922285038674,0.4065814932820153,1.5400112689228875,0.07378400951997713,27.179521411325798,0.07111386093768192,0.07433300976663491,0.07528333770061958
