tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.605439459966551,0.345962818331779,0.9999999999999999,1.0000000000000002,10.837534097726303,1.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.9999999947992605,0.9999895264426637,0.9999769241591434,0.9999917089268737,6.605341799268667,0.34596033178516,0.9999852151096871,1.000688151742541,10.844876581609423,1.0002998814948363,1.0008703395993546,1.00084624461929,1.2539340530466211e-05,8.154896330259293e-06,10.156824978211075,0.4144095665786521,1.537645608557664,0.004713454638444253,27.50532866692906,0.004080447023256645,0.004554794065106841,0.004687738863174046
0.005,0.9999999895985536,0.9999868230369534,0.9999363687988447,0.9999668073325837,6.605238393400753,0.34595729460625774,0.9999695604558914,1.001343280508836,10.85194171725283,1.000588955518113,1.001725323799556,1.0016715712881021,5.020199018686738e-05,3.2658375031367504e-05,10.153787707768323,0.41433167736493415,1.537185795026534,0.009430359715972655,27.490827482848587,0.00816632320554926,0.009115914247499789,0.009381018790927764
0.0075,0.9999999843977759,0.9999919043617728,0.9998782837823129,0.9999252393542548,6.605129274589121,0.3459537103865235,0.9999530409173666,1.0019653552511456,10.858729691814151,1.000867164309765,1.0025648750196314,1.0024759716694245,0.00011305103530135646,7.356596186210805e-05,10.150778303821571,0.4142539619247048,1.5367302002148655,0.014151891150244659,27.47920245596903,0.012257324501848734,0.013682914685401202,0.014079390260019833
0.01,0.9999999791968239,1.0000047843371427,0.999802622246542,0.9998669522103458,6.605014475741972,0.3459495828296076,0.9999356614760978,1.0025543504916588,10.865240728430988,1.0011344520325627,1.0033889193644832,1.003259444216043,0.00020114444174794508,0.00013092963756553924,10.14779737711976,0.41417641220815804,1.5362789165841733,0.018875441135185925,27.464941276042612,0.016353148053356702,0.0182553507882229,0.018782407737061687
0.0125,0.9999999739955937,1.0000254762217822,0.9997093406134964,0.9997918962144998,6.604894030436091,0.3459449157503859,0.9999174272152873,1.0031102463374668,10.871475086194565,1.0013907647829088,1.0041973866232612,1.0040219941485562,0.0003145350820374892,0.00020479783933872236,10.144845517622683,0.4140990194380294,1.5358320334486957,0.023599347180310825,27.448050412008964,0.020453492288073187,0.02283277942576079,0.023489629874819423
0.015,0.9999999687939816,1.0000539926109135,0.9995983985995321,0.9997000247877343,6.6047679729033595,0.3459397130739488,0.9998983433173126,1.0036330284932842,10.877433060114507,1.001636050600655,1.0049902102657338,1.0047636334301076,0.00045327076398216993,0.0002952154639379647,10.141923293984926,0.414021774120892,1.5353896368972675,0.02832194775269676,27.4285372634837,0.024558057018928863,0.027414759119932762,0.028200619712474354
0.0175,0.9999999635918838,1.00009034543428,0.9994697592230555,0.9995912944689759,6.604636338016988,0.3459339788345538,0.9998784150616425,1.0041226882719076,10.883114981074469,1.00187025947795,1.005767327436685,1.0054843807377725,0.0006173942608145148,0.0004022238723750556,10.139031253068879,0.4139446660609452,1.5349518097195944,0.03304158348744604,27.40641015918703,0.0286665435395797,0.032000850238870275,0.032914944879811996
0.02,0.9999999583891963,1.000134545954382,0.9993233888104227,0.9994656649239342,6.604499161277579,0.34592771717454596,0.9998576478227269,1.0045792226023635,10.888521215778443,1.0020933433671015,1.0065286789483505,1.0061842614305292,0.0008069433426496404,0.0005258608961603336,10.136169919487749,0.4138676843762649,1.5345186313370702,0.03775659839865269,27.381678354876133,0.03277865471798871,0.036590615193148934,0.03763217780522767
0.0225,0.9999999531858154,1.000186604764922,0.9991592570000837,0.9993230989523194,6.604356478798969,0.3459209323432476,0.9998360470678527,1.0050026340357328,10.893652166687463,1.0023052561874535,1.007274209270923,1.0068633075137494,0.0010219508091833865,0.0006661608450489366,10.13333979517934,0.41379081751747415,1.5340901777382505,0.042465341089613085,27.354352030780685,0.03689409508768336,0.041183618633918374,0.042351895927351293
