tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.605439459966551,0.345962818331779,0.9999999999999999,1.0000000000000002,10.832520004841008,1.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.9999999947992605,0.9999895264426637,0.9999769241591434,0.9999917089268737,6.605341799268667,0.34596033178516,0.9999852151096871,1.0005904809576762,10.838801082176726,1.0002998815518553,1.0008703395993543,1.00084624461929,1.2539340530466196e-05,8.15489633025928e-06,10.156824978211075,0.4144095665786521,1.537645608557664,0.004728317107589019,27.57929275234823,0.004080447055210462,0.004554794065106837,0.004687738863174043
0.005,0.9999999895985536,0.9999868230369534,0.9999363687988447,0.9999668073325837,6.605238393400753,0.34595729460625774,0.9999695604558914,1.0011483069284164,10.844808932566643,1.000588955630391,1.001725323799556,1.0016715712881021,5.020199018686729e-05,3.265837503136746e-05,10.153787707768322,0.41433167736493415,1.5371857950265337,0.009460694476485516,27.56649776678372,0.008166323276011807,0.009115914247499786,0.00938101879092776
0.0075,0.999999984397776,0.9999919043617729,0.9998782837823129,0.9999252393542547,6.605129274589122,0.3459537103865235,0.9999530409173667,1.0016734566826262,10.850543825780612,1.000867164475212,1.0025648750196312,1.0024759716694243,0.00011305103530135629,7.356596186210794e-05,10.15077830382157,0.4142539619247048,1.536730200214865,0.0141954998024481,27.55112613835764,0.012257324624400013,0.013682914685401193,0.014079390260019828
0.01,0.9999999791968239,1.0000047843371427,0.9998026222465419,0.9998669522103458,6.60501447574197,0.3459495828296075,0.9999356614760975,1.002165914636505,10.856006068420617,1.0011344522487988,1.0033889193644832,1.0032594442160432,0.00020114444174794483,0.00013092963756553905,10.14779737711976,0.41417641220815804,1.5362789165841733,0.018931100050349765,27.533184063053195,0.016353148248420823,0.01825535078822289,0.018782407737061673
0.0125,0.9999999739955935,1.0000254762217822,0.9997093406134964,0.9997918962144998,6.604894030436091,0.3459449157503859,0.9999174272152873,1.0026256708645944,10.861196003882089,1.001390765047328,1.0041973866232612,1.0040219941485562,0.00031453508203748885,0.0002047978393387221,10.144845517622683,0.41409901943802946,1.5358320334486957,0.023665862633100408,27.51267864163064,0.020453492582334858,0.022832779425760775,0.023489629874819413
0.015,0.9999999687939817,1.0000539926109135,0.9995983985995321,0.9997000247877343,6.6047679729033595,0.3459397130739488,0.9998983433173126,1.0031747830631481,10.867436314784289,1.0016360509104996,1.0049902102657338,1.0047636334301076,0.0004532707639821693,0.00029521546393796426,10.141923293984926,0.414021774120892,1.5353896368972675,0.02839815659243015,27.48961787779517,0.024558057444281228,0.02741475911993274,0.02820061971247434
0.0175,0.9999999635918837,1.00009034543428,0.9994697592230555,0.9995912944689759,6.604636338016988,0.34593397883455373,0.9998784150616425,1.003782809589636,10.874397752246416,1.001870259830371,1.0057673274366847,1.0054843807377727,0.0006173942608145139,0.0004022238723750551,10.139031253068875,0.41394466606094515,1.534951809719594,0.03312635378031593,27.464010675888257,0.028666544130511208,0.03200085023887026,0.03291494487981198
0.02,0.9999999583891963,1.000134545954382,0.9993233888104227,0.9994656649239342,6.604499161277579,0.34592771717454596,0.9998576478227269,1.00435774985555,10.88108412562451,1.002093343759196,1.0065286789483505,1.0061842614305292,0.0008069433426496392,0.0005258608961603329,10.136169919487749,0.4138676843762649,1.5345186313370702,0.03784883003982772,27.435866838101443,0.032778655507071874,0.036590615193148913,0.03763217780522766
0.0225,0.9999999531858155,1.000186604764922,0.9991592570000837,0.9993230989523194,6.604356478798969,0.34592093234324767,0.9998360470678527,1.0048995893260628,10.88749568143075,1.0023052566162818,1.0072742092709228,1.0068633075137494,0.0010219508091833852,0.0006661608450489358,10.13333979517934,0.41379081751747415,1.5340901777382505,0.04256396638416802,27.405197061212483,0.036894096099456625,0.04118361863391834,0.04235189592735127
0.025,0.9999999479816368,1.0002465317894544,0.9989773367449784,0.9991635624934059,6.6042083272938825,0.345913628695819,0.9998136183549738,1.0054083190565306,10.893632701583348,1.0025059542938763,1.0080038665211388,1.007521557600139,0.0012624445235233388,0.0008231545162472484,10.130541359011353,0.41371405328878386,1.533666521419099,0.04727015017267592,27.37201293284384,0.04101257218021049,0.04577942765266809,0.04707368191000643
