tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.465486640239153,0.36812104467476636,1.0,1.0,12.225505060972358,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999825738950398,0.9997979349960832,0.999780131509085,0.9998140969597553,6.4652669962391265,0.3681182789026763,0.999966028233875,1.0004089054811456,12.231225609032462,1.000280516326153,1.0009282629713838,1.0008431798585757,1.7719595892756614e-05,1.1466823802663662e-05,9.991067490584587,0.4095041496382844,1.5452924190428807,0.004984353705178678,27.807680684433116,0.004709875617474442,0.004932277131365666,0.005006782566427924
0.005,0.9996515145552823,0.9996066292344181,0.9995353679464013,0.999604903209723,6.465036883225569,0.36811545606416124,0.9999304372526602,1.0008428372967046,12.237375728874001,1.0005459130585501,1.0018362653122952,1.00166386082338,7.09249106604244e-05,4.5910464488079475e-05,9.988225286942901,0.409290567878413,1.5448528227990346,0.009968010835568511,27.784755446912555,0.009424767230936177,0.009868921861078263,0.010015885911346228
0.0075,0.9994773220183542,0.9994260909924662,0.999265652224598,0.9993723533131128,6.4647963325075,0.36811259782254147,0.9998932318988403,1.001401489716803,12.245175282301942,1.0007961133544903,1.0027239259509781,1.0024621750904528,0.00015967881930020625,0.00010339074343499909,9.985432337699626,0.40907781472455945,1.5444208446048655,0.014948641565454283,27.758331876831484,0.014144238380499717,0.014809368510571429,0.015026817511378581
0.01,0.9993031565431743,0.9992563273946361,0.9989709336405722,0.9991163877571465,6.464545376879846,0.3681097259064384,0.9998544172447208,1.001918206769257,12.252587335182566,1.0010310439148222,1.0035911698571862,1.0032382645504574,0.0002840350304731824,0.00018396091698752716,9.982689393795496,0.40886591326281035,1.5439966006064232,0.019923922303722738,27.72842527095824,0.018867855861584598,0.01975305863572202,0.02003910229590431
0.0125,0.9991290133332927,0.9990973444095042,0.9986511678817401,0.998836952965128,6.464284050596235,0.3681068621002242,0.9998139985882217,1.0023929523646482,12.259612036369326,1.0012506349941896,1.0044379279955487,1.0039922805313937,0.00044403815638537335,0.00028766769374240247,9.979997164495218,0.408654884890773,1.543580200503835,0.024891538019344628,27.695052656976486,0.023595189851444945,0.024699441233969735,0.025052282749723934
0.015,0.9989548875923818,0.9989491468474869,0.9983063170281458,0.9985340013046112,6.46401238934158,0.3681040282344411,0.9997719814486357,1.002825700124355,12.26624960378002,1.0014548204091418,1.00526413727508,1.0047243835261799,0.0006397237845243665,0.00041455125495964686,9.977356316743366,0.4084447493189445,1.5431717474516833,0.029849184562831955,27.658232788327545,0.028325814029748837,0.029647972944325057,0.030065918967415832
0.0175,0.998780774524374,0.9988117383589508,0.9979363495504329,0.9982074910916878,6.463730430204423,0.3681012461762003,0.9997283715623508,1.003216433385204,12.27250032422699,1.001643537544163,1.0060697404949452,1.0054347429052226,0.0008711185509964534,0.0005646452779852981,9.974767474596161,0.40823552457848106,1.5427713379711203,0.034794570980466275,27.61798613782189,0.033059305692440734,0.03459811824005499,0.03507958865821959
0.02,0.998606669333603,0.998685121432755,0.9975412403037094,0.9978573865914077,6.463438211649115,0.36809853781957086,0.9996831748785484,1.0035651451993768,12.278364553229475,1.0018167273556178,1.0068546862865957,1.0061235366141104,0.0011382402152279863,0.000737976962579538,9.972231218730371,0.4080272270353013,1.5423790618739113,0.03972542181810628,27.574334890027142,0.037795245857520574,0.039549349613809875,0.040092887100501545
0.0225,0.9984325672249504,0.9985692973952083,0.997120970517332,0.997483658014359,6.463135773487834,0.3680959250759662,0.9996363975548743,1.0038718383295389,12.28384271480779,1.001974334373338,1.007618929052389,1.0067909508566453,0.001441097735814138,0.0009345670600484983,9.969748086030002,0.40781987141042947,1.541995002198509,0.044639479411403823,27.527302932441703,0.04253321936267976,0.04450114775493119,0.045105427045106124
